Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2016-12-06,"2,435,954","175,403,601",71.8,72.2,71.75,72.0,+0.90,768
2016-12-07,"1,467,377","105,807,162",72.2,72.35,71.9,72.0, 0.00,475
2016-12-08,"6,085,595","442,984,227",72.3,73.0,72.3,72.9,+0.90,"1,529"
2016-12-09,"5,418,281","395,994,807",73.05,73.2,72.95,73.15,+0.25,"1,389"
2016-12-12,"3,208,556","234,598,867",73.3,73.55,72.75,72.85,-0.30,"1,319"
2016-12-13,"2,548,640","185,727,920",72.85,73.0,72.65,72.95,+0.10,888
2016-12-14,"2,827,980","206,668,707",73.2,73.3,72.9,73.1,+0.15,"1,333"
2016-12-15,"3,017,786","219,455,120",72.55,73.0,72.4,73.0,-0.10,548
2016-12-16,"2,148,428","155,907,874",72.8,72.8,72.3,72.3,-0.70,491
2016-12-19,"2,680,960","193,048,170",72.25,72.3,71.85,71.85,-0.45,892
2016-12-20,"2,029,791","145,668,837",71.95,71.95,71.55,71.75,-0.10,634
2016-12-21,"9,321,197","668,442,424",71.75,71.85,71.5,71.7,-0.05,"2,904"
2016-12-22,"4,971,537","352,951,027",71.55,71.55,70.8,70.8,-0.90,"2,011"
2016-12-23,"5,125,956","361,673,215",70.6,70.85,70.35,70.55,-0.25,"1,671"
2016-12-26,"2,104,929","148,795,659",70.65,70.8,70.55,70.8,+0.25,740
2016-12-27,"2,494,279","176,416,611",70.8,70.9,70.65,70.75,-0.05,613
2016-12-28,"3,686,010","263,088,848",70.85,71.6,70.85,71.6,+0.85,885
2016-12-29,"1,911,106","136,351,033",71.45,71.45,71.2,71.25,-0.35,685
2016-12-30,"2,726,453","195,669,616",71.65,72.0,71.55,71.8,+0.55,660
2017-01-03,"2,331,431","167,301,490",71.7,71.9,71.5,71.9,+0.10,451
2017-01-04,"4,284,195","308,177,877",72.0,72.1,71.75,71.85,-0.05,614
2017-01-05,"4,573,600","330,422,521",71.85,72.5,71.8,72.5,+0.65,"1,236"
2017-01-06,"3,752,998","272,387,663",72.45,72.75,72.45,72.65,+0.15,980
2017-01-09,"5,038,290","366,344,482",72.75,72.95,72.3,72.45,-0.20,"1,057"
2017-01-10,"1,857,853","134,624,612",72.45,72.6,72.4,72.4,-0.05,422
2017-01-11,"1,898,053","137,621,077",72.8,72.85,72.4,72.4, 0.00,589
2017-01-12,"4,857,459","354,847,738",72.6,73.3,72.6,73.15,+0.75,"1,399"
2017-01-13,"3,909,860","284,091,239",72.8,72.8,72.6,72.6,-0.55,835
2017-01-16,"2,418,439","174,145,772",72.4,72.4,71.8,72.0,-0.60,881
2017-01-17,"1,572,741","113,686,311",72.0,72.4,72.0,72.3,+0.30,494
2017-01-18,"3,837,818","276,891,011",72.2,72.2,72.05,72.15,-0.15,679
2017-01-19,"4,065,559","292,416,114",71.85,72.1,71.6,71.95,-0.20,665
2017-01-20,"2,422,174","174,730,158",71.95,72.25,71.95,72.15,+0.20,"1,433"
2017-01-23,"5,965,089","434,672,631",72.55,73.0,72.55,72.75,+0.60,"1,534"
2017-01-24,"4,575,104","334,830,127",73.0,73.3,72.9,73.3,+0.55,"1,858"
2017-02-02,"6,999,147","511,783,003",73.5,73.65,72.75,72.9,-0.40,"1,808"
2017-02-03,"2,809,194","204,726,612",72.95,73.15,72.65,72.85,-0.05,"1,203"
2017-02-06,"2,947,246","215,765,564",73.0,73.4,72.95,73.25,+0.40,"1,195"
2017-02-07,"4,305,232","315,681,749",73.1,73.45,73.1,73.3,+0.05,"1,897"
2017-02-08,"4,433,939","317,740,281",71.9,71.9,71.35,71.75,X0.00,"2,095"
2017-02-09,"3,548,420","255,343,191",71.75,72.2,71.65,72.0,+0.25,857
2017-02-10,"4,869,787","353,758,401",72.1,72.95,72.1,72.8,+0.80,"1,148"
2017-02-13,"3,330,147","243,215,631",72.8,73.1,72.8,72.95,+0.15,924
2017-02-14,"6,071,668","445,062,006",73.4,73.5,73.1,73.2,+0.25,"1,379"
2017-02-15,"9,407,004","692,431,969",73.3,73.9,73.2,73.9,+0.70,"2,298"
2017-02-16,"5,466,631","402,438,648",74.0,74.2,73.35,73.45,-0.45,"1,713"
2017-02-17,"5,192,773","381,393,148",73.65,73.7,73.35,73.35,-0.10,"1,184"
2017-02-18,"3,227,803","237,095,308",73.3,73.55,73.2,73.5,+0.15,"1,190"
2017-02-20,"2,802,606","205,434,206",73.55,73.65,73.1,73.1,-0.40,"1,401"
2017-02-21,"3,337,389","244,318,096",73.2,73.4,73.05,73.25,+0.15,527
2017-02-22,"2,938,397","215,548,987",73.6,73.7,73.15,73.3,+0.05,484
2017-02-23,"2,332,442","170,965,930",73.25,73.55,73.1,73.1,-0.20,571
2017-02-24,"1,844,790","134,857,020",73.05,73.3,72.85,73.15,+0.05,615
2017-03-01,"3,107,350","225,726,160",73.1,73.1,72.35,72.35,-0.80,"1,270"
2017-03-02,"7,057,872","512,240,160",72.95,73.25,72.25,72.55,+0.20,"1,735"
2017-03-03,"4,410,226","318,135,638",72.3,72.35,72.0,72.1,-0.45,"1,751"
2017-03-06,"2,177,363","157,105,795",72.05,72.25,72.0,72.15,+0.05,882
2017-03-07,"2,027,296","146,868,581",72.25,72.6,72.25,72.45,+0.30,833
2017-03-08,"2,182,147","158,530,106",72.65,72.85,72.45,72.85,+0.40,842
2017-03-09,"3,381,395","243,825,130",72.6,72.6,71.95,72.05,-0.80,"1,599"
2017-03-10,"5,423,285","389,031,634",71.95,72.05,71.55,72.0,-0.05,"1,558"
2017-03-13,"2,515,382","182,074,433",72.15,72.5,72.15,72.5,+0.50,779
2017-03-14,"3,948,353","287,952,737",72.6,73.1,72.6,73.0,+0.50,"1,207"
2017-03-15,"3,490,372","254,234,206",72.8,73.0,72.6,72.85,-0.15,"1,293"
2017-03-16,"7,545,149","555,972,274",73.3,73.85,73.3,73.8,+0.95,"2,754"
2017-03-17,"5,265,875","389,526,850",73.85,74.1,73.75,74.0,+0.20,"2,375"
2017-03-20,"5,073,186","375,539,714",73.95,74.15,73.85,73.95,-0.05,"1,028"
2017-03-21,"8,511,270","634,988,551",74.3,74.9,74.3,74.9,+0.95,"1,843"
2017-03-22,"4,939,975","366,163,705",74.25,74.25,74.0,74.2,-0.70,"1,268"
2017-03-23,"4,105,955","305,444,615",74.6,74.65,74.15,74.35,+0.15,687
